ds_id,Slide,Polarity,Mass Range,Group,Source,Analyzer,RP,Mref,Matrix,Rotation,Mergeable,Link,Mergewith,Done,Px_x,Px_y
2021-07-06_16h01m12s,10C,Neg,High,Dreisewerd,MALDI,TimsTOF,60000,1220,DHAP,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-07-06_16h01m12s,2021-07-06_15h53m32s,1,100,100
2021-07-06_15h53m32s,10C,Neg,Low,Dreisewerd,MALDI,TimsTOF,60000,1220,DHAP,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-07-06_15h53m32s,0,1,100,100
2021-07-06_15h03m52s,10E,Neg,Low,Dreisewerd,MALDI,TimsTOF,60000,1220,DHAP,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-07-06_15h03m52s,2021-07-06_14h55m48s,1,100,100
2021-07-06_14h55m48s,10E,Neg,High,Dreisewerd,MALDI,TimsTOF,60000,1220,DHAP,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-07-06_14h55m48s,0,1,100,100
2021-07-06_14h42m55s,10E,Pos,Low,Dreisewerd,MALDI,TimsTOF,60000,1220,DHAP,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-07-06_14h42m55s,2021-07-06_14h37m03s,1,100,100
2021-07-06_14h37m03s,10E,Pos,High,Dreisewerd,MALDI,TimsTOF,60000,1220,DHAP,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-07-06_14h37m03s,0,1,100,100
2021-07-06_13h57m23s,10D,Pos,Low,Dreisewerd,MALDI,TimsTOF,60000,1220,DHAP,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-07-06_13h57m23s,2021-07-06_13h50m48s,1,100,100
2021-07-06_13h50m48s,10D,Pos,High,Dreisewerd,MALDI,TimsTOF,60000,1220,DHAP,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-07-06_13h50m48s,0,1,100,100
2021-06-09_14h33m09s,13J,Neg,Low,Bruker,MALDI,TOF,35000,400,NEDC,1,Yes,https://metaspace2020.eu/annotations?ds=2021-06-09_14h33m09s,2021-06-09_14h07m40s,1,100,100
2021-06-09_14h07m40s,13J,Neg,High,Bruker,MALDI,TOF,35000,400,NEDC,1,Yes,https://metaspace2020.eu/annotations?ds=2021-06-09_14h07m40s,0,1,100,100
2021-06-09_14h13m09s,13I,Neg,Low,Bruker,MALDI,TOF,35000,400,NEDC,1,Yes,https://metaspace2020.eu/annotations?ds=2021-06-09_14h13m09s,2021-06-09_13h58m15s,1,100,100
2021-06-09_13h58m15s,13I,Neg,High,Bruker,MALDI,TOF,35000,400,NEDC,1,Yes,https://metaspace2020.eu/annotations?ds=2021-06-09_13h58m15s,0,1,100,100
2021-06-09_15h30m45s,13H,Pos,Low,Bruker,MALDI,TOF,35000,400,DHB,1,Yes,https://metaspace2020.eu/annotations?ds=2021-06-09_15h30m45s,2021-06-09_15h17m23s,1,100,100
2021-06-09_15h17m23s,13H,Pos,High,Bruker,MALDI,TOF,35000,400,DHB,1,Yes,https://metaspace2020.eu/annotations?ds=2021-06-09_15h17m23s,0,1,100,100
2021-06-09_15h23m52s,13G,Pos,Low,Bruker,MALDI,TOF,35000,400,DHB,1,Yes,https://metaspace2020.eu/annotations?ds=2021-06-09_15h23m52s,2021-06-09_14h58m22s,1,100,100
2021-06-09_14h58m22s,13G,Pos,High,Bruker,MALDI,TOF,35000,400,DHB,1,Yes,https://metaspace2020.eu/annotations?ds=2021-06-09_14h58m22s,0,1,100,100
2021-04-24_23h01m20s,9E,Neg,High,Muddiman,IR-MALDESI,Orbitrap,140000,200,none,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m20s,2021-04-24_23h01m22s,1,200,100
2021-04-24_23h01m22s,9E,Neg,Low,Muddiman,IR-MALDESI,Orbitrap,140000,200,none,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m22s,0,1,200,100
2021-04-24_23h01m24s,9D,Pos,High,Muddiman,IR-MALDESI,Orbitrap,140000,200,none,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m24s,2021-04-24_23h01m26s,1,200,100
2021-04-24_23h01m26s,9D,Pos,Low,Muddiman,IR-MALDESI,Orbitrap,140000,200,none,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m26s,0,1,200,100
2021-04-24_23h01m28s,9B,Neg,High,Muddiman,IR-MALDESI,Orbitrap,140000,200,none,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m28s,2021-04-24_23h01m30s,1,200,100
2021-04-24_23h01m30s,9B,Neg,Low,Muddiman,IR-MALDESI,Orbitrap,140000,200,none,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m30s,0,1,200,100
2021-04-24_23h01m32s,9A,Pos,High,Muddiman,IR-MALDESI,Orbitrap,140000,200,none,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m32s,2021-04-24_23h01m34s,1,200,100
2021-04-24_23h01m34s,9A,Pos,Low,Muddiman,IR-MALDESI,Orbitrap,140000,200,none,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m34s,0,1,200,100
2021-04-24_23h02m20s,8A,pos,High,Spengler,AP-SMALDI5-AF,Orbitrap,140000,200,DHB,0,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h02m20s,2021-04-24_23h02m22s,1,100,100
2021-04-24_23h02m22s,8A,pos,Low,Spengler,AP-SMALDI5-AF,Orbitrap,140000,200,DHB,0,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h02m22s,0,1,100,100
2021-04-24_23h02m08s,8B,pos,High,Spengler,AP-SMALDI5-AF,Orbitrap,140000,200,DHB,0,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h02m08s,2021-04-24_23h02m16s,1,100,100
2021-04-24_23h02m16s,8B,pos,Low,Spengler,AP-SMALDI5-AF,Orbitrap,140000,200,DHB,0,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h02m16s,0,1,100,100
2021-04-24_23h02m14s,8C,neg,High,Spengler,AP-SMALDI5-AF,Orbitrap,140000,200,9AA,0,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h02m14s,2021-04-24_23h02m18s,1,100,100
2021-04-24_23h02m18s,8C,neg,Low,Spengler,AP-SMALDI5-AF,Orbitrap,140000,200,9AA,0,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h02m18s,0,1,100,100
2021-04-24_23h02m10s,8D,neg,High,Spengler,AP-SMALDI5-AF,Orbitrap,140000,200,9AA,0,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h02m10s,2021-04-24_23h02m12s,1,100,100
2021-04-24_23h02m12s,8D,neg,Low,Spengler,AP-SMALDI5-AF,Orbitrap,140000,200,9AA,0,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h02m12s,0,1,100,100
2021-04-24_23h01m48s,12B,pos,High,Hopf,MALDI,FTICR(Solarix),85000,400,DHB,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m48s,2021-04-24_23h01m50s,1,100,100
2021-04-24_23h01m50s,12B,pos,Low,Hopf,MALDI,FTICR(Solarix),85000,400,DHB,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m50s,0,1,100,100
2021-04-24_23h01m40s,12C,pos,Low,Hopf,MALDI,FTICR(Solarix),85000,400,DHB,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m40s,2021-04-24_23h01m46s,1,100,100
2021-04-24_23h01m46s,12C,pos,High,Hopf,MALDI,FTICR(Solarix),85000,400,DHB,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m46s,0,1,100,100
2021-04-24_23h01m42s,12D,neg,High,Hopf,MALDI,FTICR(Solarix),85000,400,DAN,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m42s,2021-04-24_23h01m44s,1,100,100
2021-04-24_23h01m44s,12D,neg,Low,Hopf,MALDI,FTICR(Solarix),85000,400,DAN,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m44s,0,1,100,100
2021-04-24_23h01m36s,12E,neg,Low,Hopf,MALDI,FTICR(Solarix),85000,400,DAN,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m36s,2021-04-24_23h01m38s,1,100,100
2021-04-24_23h01m38s,12E,neg,High,Hopf,MALDI,FTICR(Solarix),85000,400,DAN,-1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m38s,0,1,100,100
2021-04-24_23h02m02s,12G,pos,Low,Hopf,MALDI,TimsTOF,30000,400,DHB,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h02m02s,2021-04-24_23h02m06s,1,100,100
2021-04-24_23h02m06s,12G,pos,High,Hopf,MALDI,TimsTOF,30000,400,DHB,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h02m06s,0,1,100,100
2021-04-24_23h02m00s,12H,pos,Low,Hopf,MALDI,TimsTOF,30000,400,DHB,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h02m00s,2021-04-24_23h02m04s,1,100,100
2021-04-24_23h02m04s,12H,pos,High,Hopf,MALDI,TimsTOF,30000,400,DHB,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h02m04s,0,1,100,100
2021-04-24_23h01m52s,12I,neg,High,Hopf,MALDI,TimsTOF,30000,400,DAN,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m52s,2021-04-24_23h01m54s,1,100,100
2021-04-24_23h01m54s,12I,neg,Low,Hopf,MALDI,TimsTOF,30000,400,DAN,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m54s,0,1,100,100
2021-04-24_23h01m56s,12J,neg,Low,Hopf,MALDI,TimsTOF,30000,400,DAN,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m56s,2021-04-24_23h01m58s,1,100,100
2021-04-24_23h01m58s,12J,neg,High,Hopf,MALDI,TimsTOF,30000,400,DAN,1,Yes,https://metaspace2020.eu/annotations?ds=2021-04-24_23h01m58s,0,1,100,100
